t,Pe_FullDyn
2.00,37018.0353
3.25,215474.7305
3.65,227824.5477
3.85,231518.3967
4.55,237947.8524
5.45,240206.667
6.15,240653.4078
6.25,240684.4229
6.45,240732.9
7.25,240823.1364
7.95,240845.3783
8.35,240850.2726
8.65,240852.3045
8.85,240853.1924
9.65,240854.8452
9.95,240855.078
10.00,240855.1066
10.40,117221.8032
11.20,177379.8128
12.00,177379.8128
12.20,68310.8016
13.20,195373.1647
13.40,68310.8016
14.10,165867.8474
14.20,37018.0353
14.90,165867.8474
15.00,37018.0353
15.90,187124.4811
16.10,68310.8016
16.50,117221.8032
16.70,68310.8016
17.30,152268.0673
18.20,187124.4811
18.60,117221.8032
19.00,117221.8032
19.50,136201.8254
19.60,37018.0353
20.00,117221.8032
20.90,187124.4811
21.70,177379.8128
21.80,37018.0353
21.90,37018.0353
22.60,165867.8474
23.50,187124.4811
24.20,165867.8474
24.90,165867.8474
25,0
